Channel Name	X	Y	Xc	Yc	Height	Area	Width	Phi	Ax	BG	I	Frame	Length	Link	Valid	Z	Zc	Photons	Lateral Localization Accuracy	Xw	Yw	Xwc	Ywc
405/647	25664.8	4181.8	25664.8	4181.8	10065.77539	345074.84375	290.27615	-20.46828	1.14776	4629.50732	384345.53125	100	8	-1	8	0	0	9178.99084	2.75944	25664.8	4181.8	25664.8	4181.8
405/647	5939.1	6939.6	5939.1	6939.6	26280.01758	129615.97656	283.51541	0.00000	1.15982	13485.90332	130611.40625	100	1	-1	7	0	0	3447.78498	4.28898	5939.1	6939.6	5939.1	6939.6
405/647	14828.0	7453.1	14828.0	7453.1	6558.43799	31709.90820	280.70975	-72.53186	1.01084	4802.67578	36285.10938	100	1	-1	-5	0	0	843.48356	9.70594	14828.0	7453.1	14828.0	7453.1
405/647	19475.6	7898.0	19475.6	7898.0	4709.68652	46556.54688	298.12543	-68.17276	1.16894	5333.91113	54130.42188	100	2	-1	5	0	0	1238.40415	10.45135	19475.6	7898.0	19475.6	7898.0
405/647	19476.2	10009.2	19476.2	10009.2	33930.93359	192679.37500	304.21454	7.54900	1.10791	6458.08447	191170.89063	100	1	-1	5	0	0	5125.27137	2.89184	19476.2	10009.2	19476.2	10009.2
405/647	39740.1	11014.7	39740.1	11014.7	3366.24414	24831.90625	346.73087	71.92326	1.01434	4657.03906	26294.02344	100	1	-1	-3	0	0	660.52871	17.32644	39740.1	11014.7	39740.1	11014.7
405/647	13104.7	11522.7	13104.7	11522.7	2330.83667	9838.20117	262.27817	6.08888	1.06577	10436.79590	11447.10938	100	1	-1	-3	0	0	261.69615	35.34616	13104.7	11522.7	13104.7	11522.7
405/647	14082.7	13946.3	14082.7	13946.3	6202.80664	45392.01953	345.34714	-53.32727	1.16809	6126.71729	45383.06250	100	1	-1	6	0	0	1207.42772	11.13094	14082.7	13946.3	14082.7	13946.3
405/647	8927.9	15498.3	8927.9	15498.3	2829.76196	16477.37305	308.05569	46.45380	1.23447	5313.28271	19018.93750	100	1	-1	-2	0	0	438.29812	21.56399	8927.9	15498.3	8927.9	15498.3
405/647	10109.0	17630.0	10109.0	17630.0	5865.57861	36896.05078	320.18039	0.00000	1.19083	5872.24072	45618.98438	100	1	-1	10	0	0	981.43495	11.52061	10109.0	17630.0	10109.0	17630.0
405/647	22308.0	18235.5	22308.0	18235.5	2027.54736	5140.25488	203.26709	-7.49406	1.29903	5685.97949	10088.51563	100	1	-1	-3	0	0	136.73078	30.61815	22308.0	18235.5	22308.0	18235.5
405/647	1675.1	18569.7	1675.1	18569.7	4360.14258	18058.74414	259.80869	3.59014	1.06523	4717.76855	23601.78906	100	1	-1	-4	0	0	480.36259	13.83542	1675.1	18569.7	1675.1	18569.7
405/647	27957.0	19581.2	27957.0	19581.2	2490.78442	10896.01660	267.00909	56.77760	1.09059	18470.32227	12387.93750	100	1	-1	-2	0	0	289.83404	43.48045	27957.0	19581.2	27957.0	19581.2
405/647	23979.2	23069.7	23979.2	23069.7	8260.03125	343405.21875	317.56830	-32.14643	1.10011	9407.95508	353054.81250	100	6	-1	6	0	0	9134.57882	3.76948	23979.2	23069.7	23979.2	23069.7
405/647	33815.9	25764.8	33815.9	25764.8	10536.76953	53520.02344	287.71640	9.71662	1.25977	5490.13428	56845.64063	100	1	-1	10	0	0	1423.63262	6.80393	33815.9	25764.8	33815.9	25764.8
405/647	9905.5	26930.4	9905.5	26930.4	3022.46436	21035.12891	336.78461	-57.49231	1.04616	4865.78760	23344.31250	100	1	-1	-4	0	0	559.53443	19.50398	9905.5	26930.4	9905.5	26930.4
405/647	24426.6	28485.2	24426.6	28485.2	6777.37598	51319.63672	286.14322	-3.66223	1.14037	8927.56641	55777.70313	100	2	-1	-3	0	0	1365.10234	11.01187	24426.6	28485.2	24426.6	28485.2
405/647	26578.2	28653.8	26578.2	28653.8	3587.24146	20621.80273	306.08585	-75.85052	1.20113	6860.55859	23591.03125	100	1	-1	-2	0	0	548.53995	19.30826	26578.2	28653.8	26578.2	28653.8
